Component,Description,Qty,Unit Price (USD),Unit Price (INR),Store
PCB Prototype (Black),"1.6mm, HASL with lead finish",5,13.7,1140,JLCPCB
Shipping (JLCPCB),International to India,1,21.13,1757,JLCPCB
Pro Micro (Clone),Micro USB controller board,1,7,580,Amazon.in
Gateron Blue Switches,Clicky tactile mechanical switches,70,18,1500,CosmicByte.in
SMD Diodes (1N4148WS),0805 package,70,1.5,130,ShaarviElectronics
"OLED Display (0.91"")","SSD1306, I2C",1,3.5,300,Amazon.in
Keycaps (PBT Blank),For 65% layout,1,20,1700,NeoMacro.in
Soldering + Misc,"Wires, flux, solder",,6,510,
Case,3D Printed (Self-designed in Fusion),1,,,
,,,,,
Total,,,90.83,7617,
